df2_title	df2_name_parts	df1_title	df1_name_parts
[?] Fleisig	{"given-name": "?", "surname": "Fleisig"}	plyysyg (?)	{"primary-name": "plyysyg", "surname": "plyysyg"}
[?] Fridman	{"given-name": "?", "surname": "Fridman"}	(?) prydmaan	{"surname": "prydmaan"}
Fela Garbazh	{"given-name": "Fela", "surname": "Garbazh"}	p`la garbarzsh	{"primary-name": "p`la garbarzsh", "given-name": "p`la", "surname": "garbarzsh"}
Moshe Garbazh	{"given-name": "Moshe", "surname": "Garbazh"}	mshh garbarzsh	{"given-name": "mshh", "surname": "garbarzsh"}
Misha German	{"given-name": "Misha", "surname": "German"}	mysh` (h`rmaan) g`rmaan	{"given-name": "mysh`", "alternative-name": "h`rmaan", "surname": "g`rmaan"}
Jan Getsman	{"given-name": "Jan", "surname": "Getsman"}	zshaan (shmval y`kb) g`tsmaan	{"given-name": "shmval", "alternative-name": "zshaan", "middle-name": "y`kb", "surname": "g`tsmaan"}
Barukh Glazman	{"given-name": "Barukh", "surname": "Glazman"}	naaavm (nhmn glaazmaan) glaazvnaavv	{"primary-name": "naaavm", "alternative-name": "nhmn glaazmaan", "surname": "glaazvnaavv"}
Friedrich Wilhelm Goter	{"given-name": "Friedrich", "middle-name": "Wilhelm", "surname": "Goter"}	pry`drykh vvylh`lm gaat`r	{"primary-name": "pry`drykh vvylh`lm gaat`r", "given-name": "vvylh`lm", "surname": "gaat`r"}
Peter Graf	{"given-name": "Peter", "surname": "Graf"}	pyt`r (pthyh) graap	{"given-name": "pytr", "alternative-name": "pthyh", "surname": "graap"}
Samuel Greenberg	{"given-name": "Samuel", "surname": "Greenberg"}	s`myv`l (shmhh) grynb`rg	{"given-name": "shmhh", "alternative-name": "s`myv`l", "surname": "grynb`rg"}
Yehuda Grinhoyz	{"given-name": "Yehuda", "surname": "Grinhoyz"}	yhvdh grynhvyz	{"given-name": "yhvdh", "surname": "grynhvyz"}
Mary Gutovitsh	{"given-name": "Mary", "surname": "Gutovitsh"}	m`ry (myly` tsypkvs) gvtaavvytsh	{"given-name": "myly`", "alternative-name": "m`ry", "surname": "gvtaavvytsh"}
? Haber	{"given-name": "?", "surname": "Haber"}	? hab`r	{"honorific": "hab`r"}
Al. Harris	{"given-name": "Al", "surname": "Harris"}	aal h`rys	{"primary-name": "aal hhrys", "surname": "hhrys"}
Anna Held	{"given-name": "Anna", "surname": "Held"}	aannaa h`ld	{"given-name": "aannah", "surname": "held"}
Regina Hertslikh	{"given-name": "Regina", "surname": "Hertslikh"}	r`gyn` h`rtslyn	{"primary-name": "r`gyn`", "surname": "h`rtslyn"}
Rukhl Hochberg	{"given-name": "Rukhl", "surname": "Hochberg"}	rhl (aary`l) haakhb`rg	{"primary-name": "haakhb`rg", "given-name": "rhl", "alternative-name": "aary`l"}
[?] Hoffman	{"given-name": "[?]", "surname": "Hoffman"}	haapmaan (?)	{"surname": "haapmaan"}
Izmalyonna	{"given-name": "Izmalyonna"}	ayzmaalyaannaa	{"primary-name": "ayzmaalyaannaa"}
Louie Josephson	{"given-name": "Louie", "surname": "Josephson"}	lvay yaaz`pzaahn	{"given-name": "lvay", "surname": "yaaz`pzaahn"}
Jeanne Juvelier	{"given-name": "Jeanne", "surname": "Juvelier"}	dzshyn (b`laa) yaavv`lyr	{"given-name": "dzshyn", "alternative-name": "b`laa", "surname": "yaavv`lyr"}
Khaim-Yosef Keymon	{"given-name": "Khaim-Yosef", "surname": "Keymon"}	yvsp (aasyp) kaamy`n	{"given-name": "yvsp", "alternative-name": "aasyp", "surname": "kaamy`n"}
Khaklai	{"given-name": "Khaklai"}	hklay (p`ldmaan)	{"primary-name": "hklay", "alternative-name": "p`ldmaan"}
[?] Khalan-Khalanov	{"given-name": "[?]", "surname": "Khalan-Khalanov"}	? haalaan-haalaanaavv	{"given-name": "haalaan", "surname": "halaanvovv"}
A. Khalif	{"given-name": "A.", "surname": "Khalif"}	a. khaalyp	{"surname": "khaalyp", "acronym": "a."}
Yosef Khash	{"given-name": "Yosef", "surname": "Khash"}	yvsp haash	{"given-name": "yvsp", "surname": "haash"}
Max Kompaneyets	{"given-name": "Max", "surname": "Kompaneyets"}	maaks kaampaan`y`ts	{"given-name": "maaks", "surname": "kaampaan`y`ts"}
[?] Kores	{"given-name": "?", "surname": "Kores"}	kaar`s	{"primary-name": "kaar`s"}
Krug	{"surname": "Krug"}	]?[ krvg	{"primary-name": "]?[ krvg"}
Godl Kurazh	{"given-name": "Godl", "surname": "Kurazh"}	gaadl ]?[ kvraazsh	{"primary-name": "kvraazsh", "given-name": "gaadl"}
Sarah Lando	{"given-name": "Sarah", "surname": "Lando"}	shrh laandaa	{"given-name": "shrh", "surname": "laandaa"}
Zokn Zarakh=Paltiel Lantsman	{"given-name": "Zokn", "alternative-name": "Zarakh", "middle-name": "Paltiel", "surname": "Lantsman"}	zkn zrh-pltyal laantsmaan	{"primary-name": "zkn zrh-pltyal", "surname": "laantsmaan"}
Pinchus Lawanda	{"given-name": "Pinchus", "surname": "Lawanda"}	pnhs laavv`ndaa	{"given-name": "pnhs", "surname": "laavv`ndaa"}
Feyga Levando	{"given-name": "Feyga", "surname": "Levando"}	pyyg` (l`vvyn) l`vvaandaa	{"given-name": "pyyg`", "alternative-name": "l`vvyn", "surname": "l`vvaandaa"}
A. Leyeles	{"given-name": "A.", "surname": "Leyeles"}	a. (ahrn glaats) l`y`l`s	{"given-name": "ahrn", "alternative-name": "glaats", "surname": "l`y`l`s", "honorific": "a."}
Liliput	{"given-name": "Liliput"}	lylypvt (gbryal-hyrsh kr`tshm`r)	{"primary-name": "lylypvt", "given-name": "gbryal", "alternative-name": "hyrsh", "surname": "kr`tshm`r"}
Ola Lilith	{"given-name": "Ola", "middle-name": "Lilith"}	aalyaa (laalyaa ts`d`rbvym) lylyt	{"given-name": "aalyaa", "alternative-name": "laalia ts`d`rbvym", "surname": "lylyt"}
Anka Lipinsky	{"given-name": "Anka", "surname": "Lipinsky"}	aankaa lypaavvsky	{"given-name": "aankaa", "surname": "lypaavvsky"}
Arn Lurie	{"given-name": "Arn", "surname": "Lurie"}	aarn lvry`	{"given-name": "aarn", "surname": "lvry`"}
Aleksander Magidzohn	{"given-name": "Aleksander", "surname": "Magidzohn"}	aal`ksaand`r maagydzaahn	{"primary-name": "aal`ksaand`r maagydzaahn", "given-name": "aal`ksaand`r", "surname": "maagydzaahn"}
F.H. Maley	{"given-name": "F.", "surname": "Maley"}	p. h. maalyy	{"surname": "maalyy", "acronym": "p. h."}
Hela Mel	{"given-name": "Hela", "surname": "Mel"}	h`la m`l (m`lmaan)	{"primary-name": "h`la m`l", "alternative-name": "m`lmaan"}
Jozef Mendelson	{"given-name": "Jozef", "surname": "Mendelson"}	yaaz`p maand`lk`rn	{"given-name": "yaaz`p", "surname": "maand`lk`rn"}
Adolfo Mide	{"given-name": "Adolfo", "surname": "Mide"}	aadaalp (abrhm) myd`	{"given-name": "adalp", "alternative-name": "abrhm", "surname": "myd`"}
Nakhmen Mifelev	{"given-name": "Nakhmen", "surname": "Mifelev"}	nhmn myp`l`vv	{"primary-name": "nhmn myp`l`vv", "given-name": "nhmn", "surname": "myp`l`vv"}
Moritz Morrison	{"given-name": "Moritz", "surname": "Morrison"}	y. a. m`rysaan)	{"surname": "m`rysaan", "acronym": "y. a."}
A. Mukdoni	{"given-name": "A.", "surname": "Mukdoni"}	a. mvkdvny	{"surname": "mvkdvny", "acronym": "a."}
Bella Mysell	{"given-name": "Bella", "surname": "Mysell"}	b`laa myyz`l	{"primary-name": "b`laa myyz`l", "given-name": "b`laa", "surname": "myyz`l"}
[?] Nakhumovitsh	{"given-name": "[?]", "surname": "Nakhumovitsh"}	naakhvmaavvytsh (?)	{"primary-name": "naakhvmaavvytsh", "surname": "naakhvmaavvytsh"}
Avraham Chaim Namn	{"given-name": "Avraham", "middle-name": "Chaim", "surname": "Namn"}	abrhm-hyym namn	{"given-name": "abrhm", "middle-name": "hyym", "surname": "namn"}
Amalya Natanson	{"given-name": "Amalya", "surname": "Natanson"}	aamaaly` (naataalyaa ?) naataansaan	{"given-name": "aamaaly`", "alternative-name": "naataalia", "surname": "naataansvn"}
Leye Nelson	{"given-name": "Leye", "surname": "Nelson"}	lyy` (kaatsn`lsaan) n`lsaan	{"given-name": "lyy`", "alternative-name": "kaatsn`lsaan", "surname": "n`lsvn"}
Sam Ogursky	{"given-name": "Sam", "surname": "Ogursky"}	s`m (shmval) aagvrsky	{"primary-name": "agvrsky", "given-name": "shmval", "alternative-name": "s`m"}
S. Palme	{"given-name": "S.", "surname": "Palme"}	s. paalm`	{"given-name": "s.", "surname": "paalm`"}
H. Papak	{"given-name": "H.", "surname": "Papak"}	h. paapaak	{"given-name": "paapa", "acronym": "h"}
P. Pavik	{"given-name": "P.", "surname": "Pavik"}	p. pavvyk	{"surname": "pavvyk", "salutation": "p."}
Rubin Perkofff	{"given-name": "Rubin", "surname": "Perkofff"}	rvbyn p`rkaap	{"primary-name": "rvbyn p`rkaap", "surname": "p`rkaap"}
Katya Plavina	{"given-name": "Katya", "surname": "Plavina"}	kaatyaa plaavvynaa	{"given-name": "kaatyaa", "surname": "plaavvynaa"}
Froyke Podlubny	{"given-name": "Froyke", "surname": "Podlubny"}	prvyk` (aprym) paadlvbny	{"given-name": "aprym", "alternative-name": "prvyk`", "surname": "paadlvbny"}
N.Y. Podlubny	{"given-name": "N.", "middle-name": "Y.", "surname": "Podlubny"}	n. y. (naavm paadlvbny	{"given-name": "naavm", "surname": "paadlvbny", "acronym": "n. y."}
[?] Polyevik	{"given-name": "?", "surname": "Polyevik"}	? paaly`vvyk	{"primary-name": "? paaly`vvyk"}
Arnold Pozy	{"given-name": "Arnold", "surname": "Pozy"}	aaryh (yshraal aaryh paazshkaavv) paazy	{"primary-name": "aaryh paazy", "given-name": "aaryh", "alternative-name": "yshraal aaryh", "surname": "paazy"}
A. Prints	{"given-name": "A.", "surname": "Prints"}	a. prynts	{"surname": "prynts", "acronym": "a."}
Jacob Prns	{"given-name": "Jacob", "surname": "Prns"}	y`kb prns	{"given-name": "y`kb", "surname": "prns"}
[?] Rakhmanov	{"given-name": "?", "surname": "Rakhmanov"}	raakhmaanaavv (?)	{"primary-name": "raakhmaanaavv", "nisba": "raakhmaanaavv"}
Sara Reisen	{"given-name": "Sara", "surname": "Reisen"}	sherh ryyz`n	{"given-name": "sherh", "surname": "ryyz`n"}
[?] Ribak	{"given-name": "[?]", "surname": "Ribak"}	rybak (?)	{"primary-name": "rybak", "surname": "rybak"}
Henry Russotto	{"given-name": "Henry", "surname": "Russotto"}	h`nry (hyymn`svvyzshky) rvsaataa	{"primary-name": "h`nry", "alternative-name": "hyymn`svvyzshky", "surname": "rvsaataa"}
A. Sando	{"given-name": "A.", "surname": "Sando"}	a. (aal`ksaang`rv-saamv`ly) saandv	{"given-name": "aal`ksaang`rv-saamv`ly", "surname": "saandv", "acronym": "a."}
David Schoenholtz	{"given-name": "David", "surname": "Schoenholtz"}	dvd sh`hnhaalts	{"primary-name": "sh`hnhaalts", "given-name": "dvd"}
Fannie Schwartz	{"given-name": "Fannie", "surname": "Schwartz"}	p`ny (glaag`r shvvaarts	{"given-name": "p`ny", "alternative-name": "glaag`r", "surname": "shvvaarts"}
Mordechai Segalesko	{"given-name": "Mordechai", "surname": "Segalesko"}	mrdkhy s`gaal`skaa	{"primary-name": "mrdkhy s`gaal`skaa", "given-name": "mrdkhy", "surname": "s`gaal`skaa"}
Marvin L. Seiger	{"given-name": "Marvin", "middle-name": "L.", "surname": "Seiger"}	maarvvyn l. zyyg`r	{"given-name": "maarvvyn", "middle-name": "l.", "surname": "zyyg`r"}
Sevilla	{"surname": "Sevilla"}	paastaar) s`vvylaa (bt-shrh zygl`r	{"given-name": "paastaar", "alternative-name": "s`vvylaa", "surname": "zygl`r", "matronymic": "bt-shrh"}
Fime Shapiro	{"given-name": "Fime", "surname": "Shapiro"}	pyam` shaapyraa	{"primary-name": "shaapyraa", "given-name": "pyam`", "surname": "shaapyraa"}
Shkliar	{"surname": "Shkliar"}	shklyar	{"surname": "shklyar"}
Kh. Shrage	{"given-name": "Kh.", "surname": "Shrage"}	kh. shrag`	{"given-name": "shrag`", "honorific": "kh."}
Paulina Siftser	{"given-name": "Paulina", "surname": "Siftser"}	paavlynaa sypts`r	{"given-name": "paavlynaa", "surname": "sypts`r"}
Mae Simon	{"given-name": "Mae", "surname": "Simon"}	m`y syymaan	{"given-name": "m`y", "surname": "syymvn"}
David Smith	{"given-name": "David", "surname": "Smith"}	dvd (shmydl) smyth	{"given-name": "dvd", "alternative-name": "shmydl", "surname": "smyth"}
Nellie Solomonesco	{"given-name": "Nellie", "surname": "Solomonesco"}	n`ly (azara) saalaamaan`skaa	{"given-name": "n`ly", "alternative-name": "azara", "surname": "saalaamaan`skaa"}
Starkevitsh	{"surname": "Starkevitsh"}	stark`vvytsh	{"primary-name": "stark`vvytsh"}
Sara Sylvia	{"given-name": "Sara", "middle-name": "Sylvia"}	saaraa (gaaldshtyyn) sylvvyaa	{"given-name": "saaraa", "alternative-name": "gaaldshtyyn", "surname": "sylvvyaa"}
[?] Tankel	{"given-name": "[?]", "surname": "Tankel"}	taank`l	{}
[?] Tantshuk	{"given-name": "[?]", "surname": "Tantshuk"}	taantshvk (?)	{"primary-name": "taantshvk"}
Ruth Taru	{"given-name": "Ruth", "surname": "Taru"}	rvt (ryyzl tvkhmaakh`r) taary	{"given-name": "rvt", "alternative-name": "ryyzl", "surname": "taary", "professional-name": "tvkhmaakh`r"}
Elihu Tenenholtz	{"given-name": "Elihu", "surname": "Tenenholtz"}	alyhv t`n`nhaalts	{"primary-name": "alyhv t`n`nhaalts", "given-name": "alyhv", "surname": "t`n`nhaalts"}
Moshe Teykh-Ganzik	{"given-name": "Moshe", "surname": "Teykh-Ganzik"}	mshh tyykh-gaaznyk	{"given-name": "mshh", "surname": "tshyykh-gaaznyk"}
Mordechai-Chaim Titelman	{"given-name": "Mordechai", "middle-name": "Chaim", "surname": "Titelman"}	mrdkhy-hyym tyt`lmaan	{"given-name": "mrdkhy", "middle-name": "hyym", "surname": "tyt`lmaan"}
Rina Tselzar	{"given-name": "Rina", "surname": "Tselzar"}	rynaa (z`lygsaan) ts`lzaar	{"given-name": "rynaa", "alternative-name": "z`lygsaan", "surname": "ts`lzaar"}
George Tuller	{"given-name": "George", "surname": "Tuller"}	dzshaadzsh (zlmn taal`r) tvll`r	{"given-name": "zlmn", "alternative-name": "dzshaadzsh", "surname": "tvll`r"}
Pepi Urich	{"given-name": "Pepi", "surname": "Urich"}	p`py (p`rl) avrykh	{"given-name": "p`py", "alternative-name": "plr", "surname": "avrykh"}
[?] Varman	{"given-name": "[?]", "surname": "Varman"}	? vvaarmaan	{"primary-name": "? vvaarmaan", "surname": "varmaan"}
[?] Vaynshteyn	{"given-name": "[?]", "surname": "Vaynshteyn"}	? vvyynshtyyn	{"surname": "vvyynshtyyn"}
Enrico Vays	{"given-name": "Enrico", "surname": "Vays"}	`nrykaa vvyys	{"primary-name": "`nrykaa vvyys", "given-name": "`nrykaa", "surname": "vvyys"}
Frida Vitalina	{"given-name": "Frida", "middle-name": "Vitalina"}	pryda (laapyn) vvyaalyn	{"primary-name": "vvyaalyn", "given-name": "pryda", "alternative-name": "laapyn", "surname": "vvyaalyn"}
B. Vladeck	{"given-name": "B.", "surname": "Vladeck"}	b. (brvkh-nhmn tshaarny) vvlaad`k	{"given-name": "brvkh-nhmn", "alternative-name": "tshaarny", "surname": "vvlaad`k", "honorific": "b."}
Velvl Vladir	{"given-name": "Velvl", "surname": "Vladir"}	vv`lvvl vvladyr	{"primary-name": "vv`lvvl vvladyr", "given-name": "vv`lvvl", "surname": "vladyr"}
M. Volgeshafen	{"given-name": "M.", "surname": "Volgeshafen"}	m. vvaalg`shaap`n	{"surname": "vvlgshapyn", "acronym": "m."}
Hymie Wallerstein	{"given-name": "Hymie", "surname": "Wallerstein"}	dzsh`ny vvaaly`r	{"given-name": "dzsh`ny", "surname": "vvaaly`r"}
[?] Yakubzon	{"given-name": "[?]", "surname": "Yakubzon"}	]?[ yaakvbzaan	{"primary-name": "yaakvbzaan"}
[?] Zeyderman	{"given-name": "[?]", "surname": "Zeyderman"}	? zyyd`rmaan	{"primary-name": "? zyyd`rmaan", "surname": "zyyd`rmn"}
Leyzer Zhelazo	{"given-name": "Leyzer", "surname": "Zhelazo"}	lyyz`r (zsh`laazny) zsh`laaza	{"given-name": "lyyz`r", "alternative-name": "zsh`laazny", "surname": "zsh`laza"}
[?] Zhopnik	{"given-name": "[?]", "surname": "Zhopnik"}	? zshvpnyk	{"surname": "zshvpnyk"}
Esther Zilberman	{"given-name": "Esther", "surname": "Zilberman"}	astr zylb`rmaan	{"given-name": "astr", "surname": "zylb`rmaan"}
