df2_title	df2_name_parts	df1_title	df1_name_parts
Sam Adler	{"given-name": "Sam", "surname": "Adler"}	sem adier	{"given-name": "sem", "surname": "dir"}
Yirmeyahu Adler	{"given-name": "Yirmeyahu", "surname": "Adler"}	yrmyhu (goidenverg-tversky) adier	{"primary-name": "yrmyhu", "alternative-name": "goidenverg-tversky", "surname": "adier"}
Nikolai Afrat	{"given-name": "Nikolai", "surname": "Afrat"}	nykoiey rs	{"primary-name": "nykey", "surname": "rs"}
Ch. Aleksandrov	{"given-name": "Ch.", "surname": "Aleksandrov"}	kh (vyiyam myier) oieksandrov	{"given-name": "vyiyam", "alternative-name": "myier", "surname": "oieksandrov", "salutation": "kh"}
Yehoshua Alkan	{"given-name": "Yehoshua", "surname": "Alkan"}	y (yhushe eikyn) aikon	{"given-name": "yhushe", "alternative-name": "eikyn", "acronym": "y"}
A. Almi	{"given-name": "A.", "surname": "Almi"}	 (iyhu kheym sheps) imy	{"given-name": "iyhu", "alternative-name": "sheps", "middle-name": "kheym", "acronym": ""}
Alex Amasia	{"given-name": "Alex", "surname": "Amasia"}	aieks (aieksander) amasya	{"given-name": "aieks", "alternative-name": "aieksander", "surname": "amasya"}
Hersh Amasia	{"given-name": "Hersh", "surname": "Amasia"}	hersh amasya	{"primary-name": "hersh amasya"}
Peter Amatin	{"given-name": "Peter", "surname": "Amatin"}	peter (pskh goidverg) amatyn	{"primary-name": "goidverg", "given-name": "pskh", "alternative-name": "peter", "surname": "amatyn"}
Golde Amzel	{"given-name": "Golde", "surname": "Amzel"}	goide (genya shneyder) amzei	{"given-name": "goide", "alternative-name": "genya", "surname": "shneyder", "patronymic": "amzei"}
Aniela	{"given-name": "Aniela"}	nyei (khnh kmpaneyets-poiyakov)	{"given-name": "khnh", "alternative-name": "nyei", "surname": "kmpaneyets-poiyakov"}
Z.I. Ankhi	{"given-name": "Z.I.", "surname": "Ankhi"}	z y (zimn ytskhk aronson) nkhy	{"given-name": "zimn", "middle-name": "ytskhk", "surname": "aronson", "acronym": "z y", "appellation": "nkhy"}
S. An-ski	{"given-name": "S.", "surname": "An-ski"}	sh (shimh-zanvi rapoport) an-sky	{"primary-name": "an-sky", "given-name": "shimh", "alternative-name": "zanvi", "surname": "rapopert", "acronym": "sh"}
Anna Appel	{"given-name": "Anna", "surname": "Appel"}	anna (verkovytsh) apei	{"given-name": "anna", "alternative-name": "verkovytsh", "surname": "opei"}
Isadore Appel	{"given-name": "Isadore", "surname": "Appel"}	yzydor (yapko) apei	{"primary-name": "aei", "given-name": "yzydor", "alternative-name": "ypko"}
Morris Appel	{"given-name": "Morris", "surname": "Appel"}	morys (apeioyg) apei	{"given-name": "morys", "alternative-name": "apeioyg", "surname": "apei"}
Sofia Apteiker	{"given-name": "Sofia", "surname": "Apteiker"}	soy (shrh reynd) apteyker	{"given-name": "shrh", "alternative-name": "soy", "surname": "apteyker"}
Itzhak Arco	{"given-name": "Itzhak", "surname": "Arco"}	ytskhk rk	{"given-name": "ytskhk", "surname": "rk"}
Manya Arco	{"given-name": "Manya", "surname": "Arco"}	manye (yshzon) arko	{"given-name": "manye", "alternative-name": "yshzon", "surname": "arko"}
Miriam Arnon	{"given-name": "Miriam", "surname": "Arnon"}	mrym (manye morguiys) arnon	{"given-name": "mrym", "alternative-name": "manye", "surname": "arnon"}
Sholem Asch	{"given-name": "Sholem", "surname": "Asch"}	shium ash	{"given-name": "shium", "surname": "sh"}
Jennie Atlas	{"given-name": "Jennie", "surname": "Atlas"}	dzheny atias	{"primary-name": "dzheny atias", "given-name": "dzheny", "surname": " "}
Boris Auerbach	{"given-name": "Boris", "surname": "Auerbach"}	vorys (bn-tsyun) oyervakh	{"given-name": "vorys", "alternative-name": "bn-tsyun", "surname": "oyervakh"}
Ephraim Auerbach	{"given-name": "Ephraim", "surname": "Auerbach"}	rym oyervakh	{"given-name": "rym", "surname": "oyrvakh"}
Annie Augenblick	{"given-name": "Annie", "surname": "Augenblick"}	eny (khnh soyver) oygenviyk	{"given-name": "khnh", "alternative-name": "eny", "surname": "oygenviyk", "matronymic": "soyver"}
Aneta Axelrad	{"given-name": "Aneta", "surname": "Axelrad"}	aneta (prener) akseird	{"given-name": "aneta", "alternative-name": "prener", "surname": "akseird"}
Avraham Axelrad	{"given-name": "Avraham", "surname": "Axelrad"}	brhm (brhm ytskhk) akseird	{"primary-name": "brhm", "given-name": "brhm", "alternative-name": "brhm ytskhk", "surname": "aksird"}
Minnie Axelrad	{"given-name": "Minnie", "surname": "Axelrad"}	myna (vieykhman) akseird	{"given-name": "myna", "alternative-name": "bieykhman", "surname": "akseird"}
Morris Axelrad	{"given-name": "Morris", "surname": "Axelrad"}	morys (meyr) akseird	{"given-name": "morys", "alternative-name": "meyr", "surname": "akseird"}
Rosa Axelrad	{"given-name": "Rosa", "surname": "Axelrad"}	roz akseird	{"given-name": "roz", "surname": "akseird"}
Rukhl Axelrad	{"given-name": "Rukhl", "surname": "Axelrad"}	rkhi (kohut) akseird	{"given-name": "rkhi", "alternative-name": "kohut", "surname": "akseird"}
Alexander Azro	{"given-name": "Alexander", "surname": "Azro"}	aieksander (oriyuk) zra	{"primary-name": "aieksander", "alternative-name": "oriyuk", "surname": "zra"}
Simcha Bader	{"given-name": "Simcha", "surname": "Bader"}	shmkhh (nyedzhevyetsky) vder	{"primary-name": "shmkhh", "alternative-name": "nyedzhevyetsky", "surname": "bder"}
Max Badin	{"given-name": "Max", "surname": "Badin"}	maks (muny vadyon) vadyn	{"given-name": "maks", "alternative-name": "muny", "surname": "vadyn", "patronymic": "vadyon"}
Belle Baker	{"given-name": "Belle", "surname": "Baker"}	vei veyker	{"primary-name": "vei veyker"}
Ben-Tsvi Baratov	{"surname": "Baratov", "patronymic": "Ben-Tsvi"}	vn-tsby (pavei vrener) varotov	{"given-name": "pavei", "alternative-name": "brener", "surname": "varotov", "patronymic": "bn-tsby"}
Sh. Barber	{"given-name": "Sh.", "surname": "Barber"}	sh (shmui verver) varver	{"given-name": "shmui", "alternative-name": "berver", "surname": "varver", "acronym": "sh"}
Misha Basin	{"given-name": "Misha", "surname": "Basin"}	myshe vsyn	{"given-name": "myshe", "surname": "vsyn"}
Rosa Becker	{"given-name": "Rosa", "surname": "Becker"}	roz (zyivert) veker	{"given-name": "roz", "alternative-name": "zyivert", "surname": "veker"}
Moses Eliezer Beilinson	{"given-name": "Moses", "middle-name": "Eliezer", "surname": "Beilinson"}	mshh-iyezr (veyiynson) veiynson	{"given-name": "mshh-iyezr", "alternative-name": "veyiynson", "surname": "veiynson"}
Anna Belegolovska	{"given-name": "Anna", "surname": "Belegolovska"}	anna (khnh) veigivska	{"given-name": "anna", "alternative-name": "khnh", "surname": "veigivska"}
Bella Bellarina	{"given-name": "Bella", "surname": "Bellarina"}	vei (ruvyniykht) veieryn	{"primary-name": "vei", "alternative-name": "ruvyniykht", "surname": "veieryn"}
Yasha Belzer	{"given-name": "Yasha", "surname": "Belzer"}	yasha (yekb veier) veitser	{"primary-name": "veitser", "given-name": "yekb", "alternative-name": "yash", "surname": "veier"}
Yudl Belzer	{"given-name": "Yudl", "surname": "Belzer"}	yudi (spyvak) veizer	{"given-name": "yudi", "alternative-name": "spyvak", "surname": "veizer"}
Ben-Ali	{"patronymic": "Ben-Ali"}	vn-iy (matyas grynverg)	{"given-name": "matyas", "surname": "grynverg", "patronymic": "bn-iy"}
Jacob Ben-Ami	{"given-name": "Jacob", "patronymic": "Ben-Ami"}	yekb (shtshyryn) vn-emy	{"given-name": "yekb", "alternative-name": "shtshyryn", "patronymic": "bn-emy"}
A.A. Ben-Gur	{"given-name": "A.A.", "patronymic": "Ben-Gur"}	  (hrn hurvytsh) vn-gur	{"given-name": "hrn", "surname": "hurvytsh", "patronymic": "bn gur", "honorific": ""}
Rudolf Berg	{"given-name": "Rudolf", "surname": "Berg"}	rudoif (zyiberberg) verg	{"primary-name": "rudoif", "alternative-name": "zyiberberg", "surname": "verg"}
Jacob Bergreen	{"given-name": "Jacob", "surname": "Bergreen"}	yekb (grynberg) vergryn	{"primary-name": "yekb", "alternative-name": "grynberg", "surname": "bergryn"}
Yosef Berkovitsh	{"given-name": "Yosef", "surname": "Berkovitsh"}	yusf (yuzhbu) verkovytsh	{"given-name": "yusf", "alternative-name": "yuzhbu", "surname": "verkovytsh"}
Henry Berman	{"given-name": "Henry", "surname": "Berman"}	henry (henekh veyiy) verman	{"given-name": "henry", "alternative-name": "henekh veyiy", "surname": "verman"}
Berel Bernardi	{"given-name": "Berel", "surname": "Bernardi"}	veri (top) vernard	{"given-name": "veri", "alternative-name": "top", "surname": "vernard"}
Helen Bernardi	{"given-name": "Helen", "surname": "Bernardi"}	heien (impei -- topf) vernardy	{"primary-name": "heien", "alternative-name": "impei", "surname": "bernardy"}
Berl Bernstein	{"given-name": "Berl", "surname": "Bernstein"}	veri (vurshtyn) vernshteyn	{"given-name": "beri", "alternative-name": "burshtyn", "surname": "bernshteyn"}
Yehoshua Bertanov	{"given-name": "Yehoshua", "surname": "Bertanov"}	yhushe (vyrtun) vertanov	{"primary-name": "yhushe", "alternative-name": "vyrtun", "surname": "vertonu"}
Misha Besarabov	{"given-name": "Misha", "surname": "Besarabov"}	myshe (yteison) vesaravov	{"given-name": "myshe", "alternative-name": "yteison", "surname": "vesaravov"}
Sally Beshtendig	{"given-name": "Sally", "surname": "Beshtendig"}	siy (shrh rbkh) veshtendyg	{"given-name": "siy", "alternative-name": "shrh rbkh", "surname": "beshtendyg"}
A.H. Bialin	{"given-name": "A.H.", "surname": "Bialin"}	 h vyaiyn	{"surname": "vyiyn", "acronym": " h"}
Roseta Bialis	{"given-name": "Roseta", "surname": "Bialis"}	rozet (vyisttsky) vyaiys	{"primary-name": "rozet", "alternative-name": "vyisttsky", "surname": "vyaiy"}
Chana Bialkowicz	{"given-name": "Chana", "surname": "Bialkowicz"}	khnh (rozentsveyg) vyaikovytsh	{"given-name": "khnh", "alternative-name": "rozentsveyg", "surname": "vyaikovytsh"}
Izrael Bialkowicz	{"given-name": "Izrael", "surname": "Bialkowicz"}	yshri vyaikovytsh	{"given-name": "yshri", "surname": "vyaikovytsh"}
Glika Bielavski	{"given-name": "Glika", "surname": "Bielavski"}	giyk (degenshteyn) vyeivsky	{"primary-name": "giyk", "alternative-name": "degenshteyn", "surname": "vyeivsky"}
L.S. Biely	{"given-name": "L.S.", "surname": "Biely"}	i s vyeiy	{"surname": "vyeiy", "acronym": "i s"}
David Birnbaum	{"given-name": "David", "surname": "Birnbaum"}	dud vyrnvoym	{"given-name": "dud", "surname": "byrnvoym"}
Joseph Birnbaum	{"given-name": "Joseph", "surname": "Birnbaum"}	yusf vyrnvoym	{"given-name": "yusf", "surname": "byrnvoym"}
Louis Birnbaum	{"given-name": "Louis", "surname": "Birnbaum"}	iuys (yekb ieyv) vyrnvoym	{"primary-name": "byrnvoym", "given-name": "yekb ieyv", "alternative-name": "iuys"}
Minnie Birnbaum	{"given-name": "Minnie", "surname": "Birnbaum"}	myny (myndi pyipei) vyrnvoym	{"given-name": "myny", "alternative-name": "myndi", "surname": "byrnvoym"}
Rosa Birnbaum	{"given-name": "Rosa", "surname": "Birnbaum"}	roz vyrnvoym	{"given-name": "roz", "surname": "byrnvoym"}
Fela Biro	{"given-name": "Fela", "surname": "Biro"}	ei vyr	{"primary-name": "ei vyr", "given-name": "ei", "surname": "byr"}
Katie Blackman	{"given-name": "Katie", "surname": "Blackman"}	keydy (keyie meyerovytsh) viakhman	{"given-name": "keydy", "alternative-name": "keyie", "surname": "viakhman"}
Betty Bleichman	{"given-name": "Betty", "surname": "Bleichman"}	vety (veyie kats) vieykhman	{"primary-name": "vety", "alternative-name": "veyie kats", "surname": "vieykhman"}
Itzhak Bliefeld	{"given-name": "Itzhak", "surname": "Bliefeld"}	ytskhk viyeid	{"given-name": "ytskhk", "surname": "biyeid"}
Chana Blum	{"given-name": "Chana", "surname": "Blum"}	khnh (khnh-viume tsentsyper) vium	{"given-name": "khnh", "alternative-name": "khnh-viume", "surname": "vium"}
Henry Blum	{"given-name": "Henry", "surname": "Blum"}	henry (heynrykh) vium	{"given-name": "henry", "alternative-name": "heynrykh", "surname": "bium"}
Sam Blum	{"given-name": "Sam", "surname": "Blum"}	sem (aieksander) vium	{"given-name": "sem", "alternative-name": "aieksander", "surname": "vium"}
Samuel Blum	{"given-name": "Samuel", "surname": "Blum"}	smuei (shmui) vium	{"given-name": "shmui", "alternative-name": "smui", "surname": "vium"}
Bontshe	{"given-name": "Bontshe"}	vontshe (abrhm rozeneid)	{"primary-name": "vontshe", "given-name": "abrhm", "alternative-name": "vontshe", "surname": "rozeneid"}
Ben Bonus	{"given-name": "Ben", "surname": "Bonus", "patronymic": "Ben"}	ven vonus	{"primary-name": "ven vonus"}
Frants Borits	{"given-name": "Frants", "surname": "Borits"}	rants (rym) voryts	{"primary-name": "rants", "given-name": "rym", "alternative-name": "rym", "surname": "voryts"}
Klara Borits	{"given-name": "Klara", "surname": "Borits"}	kiara (druker) voryts	{"given-name": "kiara", "alternative-name": "druker", "surname": "voryts"}
Berl Borodkin	{"given-name": "Berl", "surname": "Borodkin"}	veri (vardakyn) varodkyn	{"given-name": "veri", "alternative-name": "vardkyn", "surname": "varodkyn"}
Irena Bortshevska	{"given-name": "Irena", "surname": "Bortshevska"}	yren (dburh) vrtshevsk	{"primary-name": "yren", "alternative-name": "dburh", "surname": "brtshevsk"}
Anna Boym	{"given-name": "Anna", "surname": "Boym"}	nna (khnh poiakovsk) voym	{"primary-name": "nna", "given-name": "khnh", "alternative-name": "nna", "surname": "voym", "nisba": "poiakvsk"}
Chine Braginska	{"given-name": "Chine", "surname": "Braginska"}	khyne (yshzon) vragynska	{"given-name": "khyne", "alternative-name": "yshzon", "surname": "vragynska"}
Joseph Brandesko	{"given-name": "Joseph", "surname": "Brandesko"}	yusf (smoinyk) vrandesko	{"given-name": "yusf", "alternative-name": "smoinyk", "surname": "vrandesko"}
Yitzhak-Lipe Brill	{"given-name": "Yitzhak-Lipe", "surname": "Brill"}	(iyp) ytskhk-iype vryi	{"given-name": "ytskhk", "alternative-name": "iyp", "middle-name": "iype", "surname": "bryi"}
Alya Brin	{"given-name": "Alya", "surname": "Brin"}	iy (goide zeydiyn) vryn	{"primary-name": "iy", "alternative-name": "goide", "surname": "bryn", "matronymic": "zeydiyn"}
Roza Brin	{"given-name": "Roza", "surname": "Brin"}	roz (shkiyrzh) vryn	{"primary-name": "shkiyrzh", "given-name": "roz", "surname": "vryn"}
M.Z. Broida	{"given-name": "M.", "middle-name": "Z.", "surname": "Broida"}	m z (meyer gruzny) vroyd	{"alternative-name": "meyer gruzny", "surname": "broyd", "honorific": "m z"}
Esther Bronstein	{"given-name": "Esther", "surname": "Bronstein"}	ssr (stirsky) vronshteyn	{"given-name": "ssr", "alternative-name": "stirsky", "surname": "bronshteyn"}
Katie Brown	{"given-name": "Katie", "surname": "Brown"}	keyty (gyti vakon) vraun	{"given-name": "keyty", "alternative-name": "gyti", "surname": "vraun", "matronymic": "vakon"}
Rose Brown	{"given-name": "Rose", "surname": "Brown"}	roz (rkhi yzkson) vrun	{"given-name": "roz", "alternative-name": "rkhi", "surname": "vrun"}
Bessie Budanov	{"given-name": "Bessie", "surname": "Budanov"}	vesy (vudnyk) vudanov	{"given-name": "vesy", "alternative-name": "budnyk", "surname": "budanu"}
Celia Budkin	{"given-name": "Celia", "surname": "Budkin"}	tsyie (tsype mgyiner) vudkyn	{"given-name": "tsyie", "alternative-name": "tsype", "surname": "budkyn"}
Joseph Buloff	{"given-name": "Joseph", "surname": "Buloff"}	yusf (vuikyn) vuiov	{"given-name": "yusf", "alternative-name": "vuikyn", "surname": "vuiov"}
Karl Burovik	{"given-name": "Karl", "surname": "Burovik"}	kari (vtsii) vurovyk	{"given-name": "kari", "alternative-name": "vtsii", "surname": "burovyk"}
Mina Burshtin	{"given-name": "Mina", "surname": "Burshtin"}	myna (haipern) vurshtyn	{"given-name": "myna", "alternative-name": "haipern", "surname": "burshtyn"}
Chaver-Paver	{"given-name": "Chaver", "surname": "Paver"}	khaver-paver (grshun eynvynder)	{"given-name": "grshun", "alternative-name": "khaver-paver", "surname": "eynvynder"}
Jack Cherish	{"given-name": "Jack", "surname": "Cherish"}	dzhek (ytskhk-yekb khrsh) tsherysh	{"given-name": "ytskhk-yekb", "alternative-name": "dzhek", "surname": "tsherysh", "patronymic": "khrsh"}
Annie Cherniak	{"given-name": "Annie", "surname": "Cherniak"}	eny (eynman) tshernyak	{"primary-name": "tshernyak", "given-name": "eny", "alternative-name": "eynman"}
Manya Chizhik	{"given-name": "Manya", "surname": "Chizhik"}	manya (yrshteneid) tshyzhyk	{"given-name": "manya", "alternative-name": "yrshteneid", "surname": "tshyzhyk"}
S.H. Cohen	{"given-name": "S.", "middle-name": "H.", "surname": "Cohen"}	s h (nudeiman) kohn	{"given-name": "nudeiman", "surname": "kuhn", "honorific": "s h"}
H.A. Condell	{"given-name": "H.A.", "surname": "Condell"}	h  (kohn) kandei	{"alternative-name": "kohn", "surname": "kandei", "honorific": "h "}
Betty Dalska	{"given-name": "Betty", "surname": "Dalska"}	vety (bratsiavska) daiska	{"given-name": "vety", "alternative-name": "bratsiavska", "surname": "daiska"}
David Dank	{"given-name": "David", "surname": "Dank"}	dud (tsvybeisharf) denk	{"given-name": "dud", "alternative-name": "tsvybeisharf", "surname": "denk"}
Wolf Darelin	{"given-name": "Wolf", "surname": "Darelin"}	voif (eyznshteyn) dreiyn	{"primary-name": "dreiyn", "given-name": "voif", "alternative-name": "eyznshteyn"}
Chana Dashkevitsh	{"given-name": "Chana", "surname": "Dashkevitsh"}	khnh (edeiman) dashkevytsh	{"given-name": "khnh", "alternative-name": "edeiman", "surname": "dashkevytsh"}
Mikhl Davidzon	{"given-name": "Mikhl", "surname": "Davidzon"}	dud (ygnatovsky) ygnatov	{"given-name": "dud", "alternative-name": "ygnatvsky", "surname": "ygntv"}
Harry A. Dell	{"given-name": "Harry", "middle-name": "A.", "surname": "Dell"}	hery  (daietytsky dei	{"given-name": "hery", "alternative-name": "dei", "surname": "daietytsky", "acronym": ""}
Joseph Desser	{"given-name": "Joseph", "surname": "Desser"}	yozef (yusf-kheym) desser	{"primary-name": "yozef", "alternative-name": "yusf-kheym", "surname": "desser"}
Itzhak Deytsh	{"given-name": "Itzhak", "surname": "Deytsh"}	ytskhk (soiomyanyk) deytsh	{"given-name": "ytskhk", "alternative-name": "soiomyanyk", "surname": "deytsh"}
Sam Diamont	{"given-name": "Sam", "surname": "Diamont"}	sem (goiubak) deymnt	{"primary-name": "sem", "alternative-name": "goiubak", "surname": "deymnt"}
Isaac Meir Dick	{"given-name": "Isaac", "middle-name": "Meir", "surname": "Dick"}	eyzyk (ytskhk) myr dyk	{"given-name": "eyzyk", "alternative-name": "ytskhk", "middle-name": "myr", "surname": "dyk"}
Jacob Dineson	{"given-name": "Jacob", "surname": "Dineson"}	yekb dynezon	{"given-name": "yekb", "surname": "dynezun"}
Simcha Dinman	{"given-name": "Simcha", "surname": "Dinman"}	shmkhh dynman (dyiman)	{"given-name": "shmkhh", "alternative-name": "dyiman", "surname": "dynman"}
Rubin Doctor	{"given-name": "Rubin", "professional-name": "Doctor"}	ruvyn (rubn) doktor	{"given-name": "rubn", "alternative-name": "ruvyn", "professional-name": "doktor"}
Elza Dorf	{"given-name": "Elza", "surname": "Dorf"}	eiza dorf	{"primary-name": "eiza dorf"}
Ethel Dorf	{"given-name": "Ethel", "surname": "Dorf"}	eti (epeibiat) dorf	{"primary-name": "eti", "alternative-name": "epeibiat", "surname": "dorf"}
Nathan Dranov	{"given-name": "Nathan", "surname": "Dranov"}	natan (nysn) dranov	{"primary-name": "dranu vu", "given-name": "ntan", "alternative-name": "nysn", "surname": "drnu"}
Nadya Dranova	{"given-name": "Nadya", "surname": "Dranova"}	nadya (gresye meytus) dranov	{"given-name": "nadya", "alternative-name": "gresye", "surname": "dranov"}
Dora Dubinska	{"given-name": "Dora", "surname": "Dubinska"}	dora (rabvryn) duvynska	{"given-name": "dora", "alternative-name": "rabvryn", "surname": "duvynska"}
Osip Dymow	{"given-name": "Osip", "surname": "Dymow"}	osyp (yusf periman) dymov	{"given-name": "osyp", "alternative-name": "yusf", "surname": "periman", "patronymic": "dymov"}
Pauline Edelstein	{"given-name": "Pauline", "surname": "Edelstein"}	pauiyna (ynkeishteyn) edeishteyn	{"given-name": "pauiyna", "alternative-name": "ynkeishteyn", "surname": "edeishteyn"}
Chaim Ehrenreich	{"given-name": "Chaim", "surname": "Ehrenreich"}	kheym e(h)renreykh	{"primary-name": "e(h)renreykh", "given-name": "kheym", "surname": "e(h)renreykh"}
Mordechai Ehrlich	{"given-name": "Mordechai", "surname": "Ehrlich"}	mrdkhy eriykh	{"given-name": "mrdkhy", "surname": "eriykh"}
Eva Eisen-Orenstein	{"given-name": "Eva", "surname": "Eisen-Orenstein"}	ev eyzen-orenshteyn	{"primary-name": "ev eyzen-orenshteyn", "given-name": "ev", "surname": "orenshteyn"}
Moshe Elbaum	{"given-name": "Moshe", "surname": "Elbaum"}	mshh eivyum	{"given-name": "mshh", "surname": "eivyum"}
Isidore Elgard	{"given-name": "Isidore", "surname": "Elgard"}	yzydor (ytskhk-ieyv) eigard	{"primary-name": "eigard", "given-name": "ytskhk-ieyv", "alternative-name": "yzydor"}
Manye Elgard	{"given-name": "Manye", "surname": "Elgard"}	manye (mrym vuber) eigard	{"given-name": "mrym", "alternative-name": "manye", "surname": "eigard", "matronymic": "bs buber"}
Elisheva	{"given-name": "Elisheva"}	eiysheva (sheva vokshteyn)	{"given-name": "eiysheva", "alternative-name": "sheva", "surname": "vokshteyn"}
Mischa Elman	{"given-name": "Mischa", "surname": "Elman"}	mysha (morys hyiman) eiman	{"given-name": "mysha", "alternative-name": "morys", "surname": "eiman"}
Heshl Epelberg	{"given-name": "Heshl", "surname": "Epelberg"}	heshi ep(p)eiverg	{"primary-name": "heshi ep(p)eiverg"}
B. Eppelbaum	{"given-name": "B.", "surname": "Eppelbaum"}	v (mnkhm-verysh) epeivyum	{"given-name": "mnkhm", "alternative-name": "berysh", "surname": "epeivyum", "salutation": "v"}
Wiliam Epstein	{"given-name": "Wiliam", "surname": "Epstein"}	vyiyam (hii) epshteyn	{"given-name": "vyiyam", "alternative-name": "hii", "surname": "epshteyn"}
Annie Erber	{"given-name": "Annie", "surname": "Erber"}	eny (rankenverg) erver	{"primary-name": "eny", "alternative-name": "rankenverg", "surname": "erver"}
Julius Erber	{"given-name": "Julius", "surname": "Erber"}	dzushiyus (ykhyi) erver	{"primary-name": "dzushiyus", "alternative-name": "ykhyi", "surname": "erver"}
Sofia Erdi	{"given-name": "Sofia", "surname": "Erdi"}	soya (garynkei) erdy	{"given-name": "soya", "alternative-name": "garynkei", "surname": "erdy"}
Max Erik	{"given-name": "Max", "middle-name": "Erik"}	maks (zimn merkyn) eryk	{"given-name": "maks", "alternative-name": "zimn", "surname": "merkyn", "patronymic": "eryk"}
Eygenfeld	{"surname": "Eygenfeld"}	eygeneid (erver)	{"primary-name": "eygeneid", "alternative-name": "erver"}
David Fachler	{"given-name": "David", "surname": "Fachler"}	dud akhier	{"given-name": "dud", "surname": "fokhier"}
Ayzik Feder	{"given-name": "Ayzik", "surname": "Feder"}	eyzyk (edoresky) eder	{"given-name": "eyzyk", "alternative-name": "edoresky", "surname": "eder"}
Sam Ferkauf	{"given-name": "Sam", "surname": "Ferkauf"}	sem (shmui-beri) erkoyf	{"given-name": "shmui-beri", "alternative-name": "sem", "surname": "erkoyf"}
Samuel Fisher	{"given-name": "Samuel", "surname": "Fisher"}	samuei (shui-pnkhs) ysher	{"primary-name": "ysher", "given-name": "samui", "alternative-name": "shui-pnkhs"}
[?] Fleisig	{"given-name": "?", "surname": "Fleisig"}	ieysyg ()	{"primary-name": "ieysyg", "surname": "ieysyg"}
Chana Frank	{"given-name": "Chana", "surname": "Frank"}	khnh (eynvynder) renk	{"primary-name": "khnh", "alternative-name": "eynvynder", "surname": "renk"}
Nathan Frank	{"given-name": "Nathan", "surname": "Frank"}	neytan (hsiy) renk	{"given-name": "neytn", "alternative-name": "hsiy", "surname": "renk"}
Anna Freeman	{"given-name": "Anna", "surname": "Freeman"}	anna (hokhverger) reyman	{"given-name": "anna", "alternative-name": "hokhverger", "surname": "reyman"}
Louis Freiman	{"given-name": "Louis", "surname": "Freiman"}	iuys (ieyzer genyuk) reyman	{"given-name": "iuys", "alternative-name": "ieyzer", "surname": "reyman", "matronymic": "genyuk"}
Sara Fridman	{"given-name": "Sara", "surname": "Fridman"}	sara (shrh gievytska) rydman	{"given-name": "sara", "alternative-name": "shrh", "surname": "rydman", "matronymic": "gievytska"}
Y. Fried	{"given-name": "Y.", "surname": "Fried"}	y ryd	{"surname": "ryd", "acronym": "y"}
Albert Friedman	{"given-name": "Albert", "surname": "Friedman"}	aibert (veivi-aiter) rydman	{"given-name": "aibert", "alternative-name": "veivi-aiter", "surname": "rydman"}
Lara Friedman	{"given-name": "Lara", "surname": "Friedman"}	iara (ih veyntroyv) rydman	{"given-name": "ih", "alternative-name": "iara", "surname": "rydman", "matronymic": "veyntroyv"}
