Cluster ID,confidence_score,,id,lon,geo_id,geowkt,lat,title,geo_source,title_source,name_parts,data_source,description
356,1.0,35,34,,,,,yshri adier,,Zylbercweig Lexicon,"{""given-name"": ""yshri"", ""surname"": ""adir""}",0,
357,1.0,36,35,,,,,steia adier,,Zylbercweig Lexicon,"{""given-name"": ""steia"", ""surname"": ""dier""}",0,
358,1.0,37,36,,,,,sem adier,,Zylbercweig Lexicon,"{""given-name"": ""sem"", ""surname"": ""dir""}",0,
359,1.0,38,37,,,,,heyne-heymovysh),,Zylbercweig Lexicon,"{""primary-name"": ""heyne-heymovysh""}",0,
360,1.0,39,38,,,,,emyiye (shrh-myike shtang) adier,,Zylbercweig Lexicon,"{""given-name"": ""emyiye"", ""alternative-name"": ""shrh-myike"", ""surname"": ""dier""}",0,
361,1.0,40,39,,,,,rentsys adier,,Zylbercweig Lexicon,"{""given-name"": ""rentsys"", ""surname"": ""dier""}",0,
362,1.0,41,40,,,,,tsyie adier,,Zylbercweig Lexicon,"{""given-name"": ""tsyie"", ""surname"": ""dir""}",0,
363,1.0,42,41,,,,,adeser oikszynger,,Zylbercweig Lexicon,"{""given-name"": ""adeser"", ""surname"": ""oikszynger""}",0,
364,1.0,43,42,,,,,mshh yekb dershieger,,Zylbercweig Lexicon,"{""primary-name"": ""mshh yekb udyadshieger"", ""given-name"": ""mshh"", ""middle-name"": ""yekb"", ""surname"": ""adeshieger""}",0,
365,1.0,44,43,,,,,eny (khnh soyver) oygenviyk,,Zylbercweig Lexicon,"{""given-name"": ""khnh"", ""alternative-name"": ""eny"", ""surname"": ""oygenviyk"", ""matronymic"": ""soyver""}",0,
366,1.0,45,44,,,,,yiyp oygenviyk,,Zylbercweig Lexicon,"{""primary-name"": ""yiyp oygenviyk"", ""given-name"": ""yiyp"", ""surname"": ""oygenviyk""}",0,
367,1.0,46,45,,,,,nkhum oysiender,,Zylbercweig Lexicon,"{""given-name"": ""nkhum"", ""surname"": ""oysiender""}",0,
368,1.0,47,46,,,,,rym oyervakh,,Zylbercweig Lexicon,"{""given-name"": ""rym"", ""surname"": ""oyrvakh""}",0,
369,1.0,48,47,,,,,vorys (bn-tsyun) oyervakh,,Zylbercweig Lexicon,"{""given-name"": ""vorys"", ""alternative-name"": ""bn-tsyun"", ""surname"": ""oyervakh""}",0,
370,1.0,49,48,,,,,ytskhk oyervakh,,Zylbercweig Lexicon,"{""primary-name"": ""oyervakh"", ""given-name"": ""ytskhk"", ""surname"": ""oyervakh""}",0,
371,1.0,50,49,,,,,s oyervakh,,Zylbercweig Lexicon,"{""surname"": ""oyervakh"", ""acronym"": ""s""}",0,
372,1.0,51,50,,,,,sem oyervakh,,Zylbercweig Lexicon,"{""given-name"": ""sem"", ""surname"": ""oyervakh""}",0,
373,1.0,52,51,,,,,mshh oysher,,Zylbercweig Lexicon,"{""given-name"": ""mshh"", ""surname"": ""oysher""}",0,
374,1.0,53,52,,,,,uirykh,,Zylbercweig Lexicon,"{""given-name"": ""uirykh""}",0,
375,1.0,54,53,,,,,unzer vynki,,Zylbercweig Lexicon,"{""given-name"": ""unzer"", ""surname"": ""vynki""}",0,
376,1.0,55,54,,,,,unzer teater,,Zylbercweig Lexicon,"{""primary-name"": ""unzer teater""}",0,
377,1.0,56,55,,,,,pepy (peri) urykh,,Zylbercweig Lexicon,"{""given-name"": ""pepy"", ""alternative-name"": ""pir"", ""surname"": ""urykh""}",0,
378,1.0,57,56,,,,,(ytskhk arverovytsh),,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""surname"": ""arverovytsh""}",0,
379,1.0,58,57,,,,,ytskhk azarkh,,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""surname"": ""zrkh""}",0,
380,1.0,59,58,,,,,aieksander (oriyuk) zra,,Zylbercweig Lexicon,"{""primary-name"": ""aieksander"", ""alternative-name"": ""oriyuk"", ""surname"": ""zra""}",0,
381,1.0,60,59,,,,,dzheny atias,,Zylbercweig Lexicon,"{""primary-name"": ""dzheny atias"", ""given-name"": ""dzheny"", ""surname"": "" ""}",0,
382,1.0,61,60,,,,,ydyshe aktyoren-yunyon,,Zylbercweig Lexicon,"{""primary-name"": ""ydyshe aktyoren-yunyon"", ""professional-name"": ""aktyoren-yunyon""}",0,
383,1.0,62,61,,,,,dud (ygnatovsky) ygnatov,,Zylbercweig Lexicon,"{""given-name"": ""dud"", ""alternative-name"": ""ygnatvsky"", ""surname"": ""ygntv""}",0,
165,0.6896372,63,62,,,,,pynkus (pnkhs yzbesky) yzvesko,,Zylbercweig Lexicon,"{""primary-name"": ""yzvesko"", ""given-name"": ""pynkus"", ""alternative-name"": ""pnkhs"", ""surname"": ""yzbesky""}",0,
384,1.0,64,63,,,,,yzmaiyonna,,Zylbercweig Lexicon,"{""primary-name"": ""yzmaiyonna""}",0,
385,1.0,65,64,,,,,ytkyn,,Zylbercweig Lexicon,"{""surname"": ""ytkyn""}",0,
386,1.0,66,65,,,,,ieyzer yteiman,,Zylbercweig Lexicon,"{""given-name"": ""ieyzer"", ""surname"": ""yteiman""}",0,
387,1.0,67,66,,,,,dud eyvrms,,Zylbercweig Lexicon,"{""given-name"": ""dud"", ""surname"": ""eyvrms""}",0,
388,1.0,68,67,,,,,eygeneid (erver),,Zylbercweig Lexicon,"{""primary-name"": ""eygeneid"", ""alternative-name"": ""erver""}",0,
389,1.0,69,68,,,,,neyten (nte) eyzykovytsh,,Zylbercweig Lexicon,"{""alternative-name"": ""nte"", ""surname"": ""eyzykovytsh""}",0,
390,1.0,70,69,,,,,rubn eyziand,,Zylbercweig Lexicon,"{""given-name"": ""rubn"", ""surname"": ""eyziand""}",0,
391,1.0,71,70,,,,,goide eyzman,,Zylbercweig Lexicon,"{""given-name"": ""goide"", ""surname"": ""eyzman""}",0,
166,0.6454529,72,71,,,,,ev eyzen-orenshteyn,,Zylbercweig Lexicon,"{""primary-name"": ""ev eyzen-orenshteyn"", ""given-name"": ""ev"", ""surname"": ""orenshteyn""}",0,
392,1.0,73,72,,,,,brhm eyzenverg,,Zylbercweig Lexicon,"{""given-name"": ""brhm"", ""surname"": ""eyzenverg""}",0,
393,1.0,74,73,,,,,iyub eyzenverg,,Zylbercweig Lexicon,"{""primary-name"": ""iyub eyzenverg"", ""given-name"": ""iyub"", ""surname"": ""eyzenverg""}",0,
394,1.0,75,74,,,,,mrdkhy eyzenshtat,,Zylbercweig Lexicon,"{""primary-name"": ""mrdkhy eyzenshtat"", ""given-name"": ""mrdkhy"", ""surname"": ""eyzenshtt""}",0,
395,1.0,76,75,,,,,mrym eyzenshtt,,Zylbercweig Lexicon,"{""given-name"": ""mrym"", ""surname"": ""eyzenshtt""}",0,
396,1.0,77,76,,,,,nkhmh eyzenshtt,,Zylbercweig Lexicon,"{""given-name"": ""nkhmh"", ""surname"": ""eyzenshtt""}",0,
172,0.53652316,78,77,,,,,shimh eyzenshtark,,Zylbercweig Lexicon,"{""given-name"": ""shimh"", ""surname"": ""eyzenshtark""}",0,
397,1.0,79,78,,,,,aiter eyzenshios,,Zylbercweig Lexicon,"{""primary-name"": ""aiter eyzenshios"", ""given-name"": ""aiter"", ""surname"": ""eyzenshios""}",0,
398,1.0,80,79,,,,,ieyvi eyzerman,,Zylbercweig Lexicon,"{""given-name"": ""ieyvi"", ""surname"": ""eyzerman""}",0,
399,1.0,81,80,,,,,ytskhk eykhei,,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""surname"": ""eykhei""}",0,
173,0.9035813,82,81,,,,,vashe eynhorn,,Zylbercweig Lexicon,"{""primary-name"": ""vashe eynhorn"", ""given-name"": ""vashe"", ""surname"": ""eynhorn""}",0,
400,1.0,83,82,,,,,dud eynhorn,,Zylbercweig Lexicon,"{""given-name"": ""dud"", ""surname"": ""eynhorn""}",0,
401,1.0,84,83,,,,,iyza eynhorn,,Zylbercweig Lexicon,"{""given-name"": ""iyza"", ""surname"": ""ynhorn""}",0,
402,1.0,85,84,,,,,brhm eynes,,Zylbercweig Lexicon,"{""given-name"": ""brhm"", ""surname"": ""eynes""}",0,
403,1.0,86,85,,,,,abrhm eysen,,Zylbercweig Lexicon,"{""given-name"": ""abrhm"", ""surname"": ""eysen""}",0,
174,0.8725255,87,86,,,,,ytskhk ynventarzh,,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""surname"": ""ynventarzh""}",0,
404,1.0,88,87,,,,,shvsy ytskovytsh,,Zylbercweig Lexicon,"{""primary-name"": ""shvsy ytskovytsh"", ""given-name"": ""shvsy"", ""surname"": ""ytskovytsh""}",0,
405,1.0,89,88,,,,,sonya (eidman) yrys,,Zylbercweig Lexicon,"{""given-name"": ""sonya"", ""alternative-name"": ""yrys"", ""surname"": ""eidman""}",0,
406,1.0,90,89,,,,,shmui yrys,,Zylbercweig Lexicon,"{""given-name"": ""shmui"", ""surname"": ""yrys""}",0,
407,1.0,91,90,,,,,yusf khrn,,Zylbercweig Lexicon,"{""given-name"": ""yusf"", ""surname"": ""khrn""}",0,
408,1.0,92,91,,,,,(iyezr serheysky),,Zylbercweig Lexicon,"{""given-name"": ""iyezr"", ""surname"": ""serheysky""}",0,
409,1.0,93,92,,,,,(mshh yusf novomysky),,Zylbercweig Lexicon,"{""given-name"": ""mshh"", ""middle-name"": ""yusf"", ""surname"": ""novomysky""}",0,
410,1.0,94,93,,,,,sony itvoym,,Zylbercweig Lexicon,"{""given-name"": ""sony"", ""surname"": ""itvoym""}",0,
1,0.5247965,95,94,,,,,vorys aitman,,Zylbercweig Lexicon,"{""primary-name"": ""vorys an"", ""surname"": ""oitman""}",0,
2,0.5554422,96,95,,,,,morys aitman,,Zylbercweig Lexicon,"{""given-name"": ""morys"", ""surname"": ""aitman""}",0,
411,1.0,97,96,,,,,mshh aitmn,,Zylbercweig Lexicon,"{""given-name"": ""mshh"", ""surname"": ""aitmn""}",0,
412,1.0,98,97,,,,,ieyv aitshuier,,Zylbercweig Lexicon,"{""given-name"": ""ieyv"", ""surname"": ""aitshuier""}",0,
413,1.0,99,98,,,,,shmui aiman,,Zylbercweig Lexicon,"{""given-name"": ""shmui"", ""surname"": ""aiman""}",0,
414,1.0,101,99,,,,,ernando aiesko,,Zylbercweig Lexicon,"{""primary-name"": ""ernando"", ""surname"": ""iesko""}",0,
415,1.0,102,100,,,,,hrn oieksandrov,,Zylbercweig Lexicon,"{""given-name"": ""hrn"", ""surname"": ""oieksandrvi""}",0,
416,1.0,103,101,,,,,kh (vyiyam myier) oieksandrov,,Zylbercweig Lexicon,"{""given-name"": ""vyiyam"", ""alternative-name"": ""myier"", ""surname"": ""oieksandrov"", ""salutation"": ""kh""}",0,
417,1.0,104,102,,,,,ysak aiperovytsh,,Zylbercweig Lexicon,"{""given-name"": ""ysak"", ""surname"": ""aiperovytsh""}",0,
418,1.0,105,103,,,,,y (yhushe eikyn) aikon,,Zylbercweig Lexicon,"{""given-name"": ""yhushe"", ""alternative-name"": ""eikyn"", ""acronym"": ""y""}",0,
419,1.0,106,104,,,,,yhushe aikan,,Zylbercweig Lexicon,"{""given-name"": ""yhushe"", ""surname"": ""aikan""}",0,
420,1.0,107,105,,,,,ume (rume) oikenytsky,,Zylbercweig Lexicon,"{""given-name"": ""ume"", ""alternative-name"": ""rume"", ""surname"": ""oikenhytsky""}",0,
175,0.6795727,108,106,,,,,aieksander (yhushe) oishanetsky,,Zylbercweig Lexicon,"{""given-name"": ""aieksander"", ""alternative-name"": ""yhushe"", ""surname"": ""oishanetsky""}",0,
421,1.0,109,107,,,,,peter (pskh goidverg) amatyn,,Zylbercweig Lexicon,"{""primary-name"": ""goidverg"", ""given-name"": ""pskh"", ""alternative-name"": ""peter"", ""surname"": ""amatyn""}",0,
422,1.0,110,108,,,,,aieks (aieksander) amasya,,Zylbercweig Lexicon,"{""given-name"": ""aieks"", ""alternative-name"": ""aieksander"", ""surname"": ""amasya""}",0,
423,1.0,111,109,,,,,hersh amasya,,Zylbercweig Lexicon,"{""primary-name"": ""hersh amasya""}",0,
424,1.0,112,110,,,,,goide (genya shneyder) amzei,,Zylbercweig Lexicon,"{""given-name"": ""goide"", ""alternative-name"": ""genya"", ""surname"": ""shneyder"", ""patronymic"": ""amzei""}",0,
425,1.0,113,111,,,,,nyei (khnh kmpaneyets-poiyakov),,Zylbercweig Lexicon,"{""given-name"": ""khnh"", ""alternative-name"": ""nyei"", ""surname"": ""kmpaneyets-poiyakov""}",0,
426,1.0,114,112,,,,,z y (zimn ytskhk aronson) nkhy,,Zylbercweig Lexicon,"{""given-name"": ""zimn"", ""middle-name"": ""ytskhk"", ""surname"": ""aronson"", ""acronym"": ""z y"", ""appellation"": ""nkhy""}",0,
427,1.0,115,113,,,,,sh (shimh-zanvi rapoport) an-sky,,Zylbercweig Lexicon,"{""primary-name"": ""an-sky"", ""given-name"": ""shimh"", ""alternative-name"": ""zanvi"", ""surname"": ""rapopert"", ""acronym"": ""sh""}",0,
428,1.0,116,114,,,,,vrukh as,,Zylbercweig Lexicon,"{""given-name"": ""brukh"", ""surname"": ""as""}",0,
178,0.7145621,117,115,,,,,kheym ostrovsky,,Zylbercweig Lexicon,"{""given-name"": ""kheym"", ""surname"": ""ostrovsky""}",0,
179,0.77980447,118,116,,,,,kh ostrovsky,,Zylbercweig Lexicon,"{""given-name"": ""kh"", ""surname"": ""strovsky""}",0,
429,1.0,119,117,,,,,sem (shmui) ostrovsky,,Zylbercweig Lexicon,"{""primary-name"": ""ostrovsky"", ""given-name"": ""shmui"", ""alternative-name"": ""sem""}",0,
430,1.0,120,118,,,,,oskar (yhushe ostrytsky) astrof,,Zylbercweig Lexicon,"{""given-name"": ""yhushe"", ""alternative-name"": ""oskar"", ""surname"": ""astrf"", ""patronymic"": ""ostrytsky""}",0,
431,1.0,121,119,,,,,hersheie ostropoier,,Zylbercweig Lexicon,"{""given-name"": ""hersheie"", ""nisba"": ""ostropoier""}",0,
432,1.0,122,120,,,,,yuiyus (eyzenbet) oskar,,Zylbercweig Lexicon,"{""primary-name"": ""yuiyus"", ""alternative-name"": ""eyzenbet"", ""surname"": ""oskar""}",0,
433,1.0,123,121,,,,,yusf (yusf opatovsky) optashu,,Zylbercweig Lexicon,"{""given-name"": ""yusf"", ""alternative-name"": ""yusf"", ""surname"": ""opatovsky"", ""nisba"": ""optashu""}",0,
434,1.0,124,122,,,,,dud apotheker,,Zylbercweig Lexicon,"{""given-name"": ""dud"", ""surname"": ""apotheker""}",0,
435,1.0,125,123,,,,,soy (shrh reynd) apteyker,,Zylbercweig Lexicon,"{""given-name"": ""shrh"", ""alternative-name"": ""soy"", ""surname"": ""apteyker""}",0,
436,1.0,126,124,,,,,yzydor (yapko) apei,,Zylbercweig Lexicon,"{""primary-name"": ""aei"", ""given-name"": ""yzydor"", ""alternative-name"": ""ypko""}",0,
437,1.0,127,125,,,,,anna (verkovytsh) apei,,Zylbercweig Lexicon,"{""given-name"": ""anna"", ""alternative-name"": ""verkovytsh"", ""surname"": ""opei""}",0,
438,1.0,128,126,,,,,morys (apeioyg) apei,,Zylbercweig Lexicon,"{""given-name"": ""morys"", ""alternative-name"": ""apeioyg"", ""surname"": ""apei""}",0,
439,1.0,129,127,,,,,mysha apeivoym,,Zylbercweig Lexicon,"{""given-name"": ""mysha"", ""surname"": ""apeivoym""}",0,
440,1.0,130,128,,,,,(sheyne rkhi veynshteyn),,Zylbercweig Lexicon,"{""given-name"": ""rkhi"", ""alternative-name"": ""sheyne"", ""surname"": ""veynshteyn""}",0,
441,1.0,131,129,,,,,peiyna (peri) oerman,,Zylbercweig Lexicon,"{""given-name"": ""eiyna"", ""alternative-name"": ""peri"", ""surname"": ""oerman""}",0,
442,1.0,132,130,,,,,nykoiey rs,,Zylbercweig Lexicon,"{""primary-name"": ""nykey"", ""surname"": ""rs""}",0,
443,1.0,133,131,,,,,brhm (brhm ytskhk) akseird,,Zylbercweig Lexicon,"{""primary-name"": ""brhm"", ""given-name"": ""brhm"", ""alternative-name"": ""brhm ytskhk"", ""surname"": ""aksird""}",0,
444,1.0,134,132,,,,,aneta (prener) akseird,,Zylbercweig Lexicon,"{""given-name"": ""aneta"", ""alternative-name"": ""prener"", ""surname"": ""akseird""}",0,
445,1.0,135,133,,,,,morys (meyr) akseird,,Zylbercweig Lexicon,"{""given-name"": ""morys"", ""alternative-name"": ""meyr"", ""surname"": ""akseird""}",0,
446,1.0,136,134,,,,,myna (vieykhman) akseird,,Zylbercweig Lexicon,"{""given-name"": ""myna"", ""alternative-name"": ""bieykhman"", ""surname"": ""akseird""}",0,
447,1.0,137,135,,,,,roz akseird,,Zylbercweig Lexicon,"{""given-name"": ""roz"", ""surname"": ""akseird""}",0,
448,1.0,138,136,,,,,rkhi (kohut) akseird,,Zylbercweig Lexicon,"{""given-name"": ""rkhi"", ""alternative-name"": ""kohut"", ""surname"": ""akseird""}",0,
449,1.0,139,137,,,,,yshri akseneid,,Zylbercweig Lexicon,"{""given-name"": ""yshri"", ""surname"": ""akseneid""}",0,
181,0.6045985,140,138,,,,,herman aronovytsh,,Zylbercweig Lexicon,"{""primary-name"": ""herman"", ""surname"": ""aronovytsh""}",0,
450,1.0,141,139,,,,,yudes arontshyk,,Zylbercweig Lexicon,"{""primary-name"": ""yudes arontshyk"", ""given-name"": ""yudes"", ""surname"": ""arontshyk""}",0,
176,0.7350352,142,140,,,,,vrukh aronson,,Zylbercweig Lexicon,"{""given-name"": ""brukh"", ""surname"": ""aronson""}",0,
451,1.0,143,141,,,,,eyvi arones,,Zylbercweig Lexicon,"{""primary-name"": ""eyvi arones"", ""given-name"": ""eyvi"", ""surname"": ""arones""}",0,
182,0.7472325,144,142,,,,,ssr (snyegov) orzhevskaya,,Zylbercweig Lexicon,"{""primary-name"": ""ssr"", ""alternative-name"": ""snyegov"", ""surname"": ""orzhevskaya""}",0,
452,1.0,145,143,,,,,shmeun oriyuk,,Zylbercweig Lexicon,"{""given-name"": ""shmeun"", ""surname"": ""oriyuk""}",0,
453,1.0,146,144,,,,,arnoid ( gynzvurg),,Zylbercweig Lexicon,"{""given-name"": ""arnoid"", ""alternative-name"": "" gynzvurg""}",0,
454,1.0,147,145,,,,,mrym (manye morguiys) arnon,,Zylbercweig Lexicon,"{""given-name"": ""mrym"", ""alternative-name"": ""manye"", ""surname"": ""arnon""}",0,
455,1.0,148,146,,,,,roze rnshteyn,,Zylbercweig Lexicon,"{""given-name"": ""roze"", ""surname"": ""rnshteyn""}",0,
456,1.0,149,147,,,,,(oren) yusf orenshteyn,,Zylbercweig Lexicon,"{""given-name"": ""yusf"", ""alternative-name"": ""oren"", ""surname"": ""orenshteyn""}",0,
457,1.0,150,148,,,,,ysak arko,,Zylbercweig Lexicon,"{""primary-name"": ""ysak arko"", ""given-name"": ""ysak"", ""surname"": ""arko""}",0,
458,1.0,151,149,,,,,ytskhk rk,,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""surname"": ""rk""}",0,
459,1.0,152,150,,,,,manye (yshzon) arko,,Zylbercweig Lexicon,"{""given-name"": ""manye"", ""alternative-name"": ""yshzon"", ""surname"": ""arko""}",0,
460,1.0,153,151,,,,,rytsy arko,,Zylbercweig Lexicon,"{""primary-name"": ""rytsy arko"", ""given-name"": ""rytsy"", ""surname"": ""arko""}",0,
461,1.0,154,152,,,,,brm ash,,Zylbercweig Lexicon,"{""primary-name"": ""brm ash"", ""given-name"": ""brm"", ""surname"": ""ash""}",0,
462,1.0,155,153,,,,,khyhie ash,,Zylbercweig Lexicon,"{""given-name"": ""khyhie"", ""surname"": ""ash""}",0,
463,1.0,156,154,,,,,shium ash,,Zylbercweig Lexicon,"{""given-name"": ""shium"", ""surname"": ""sh""}",0,
464,1.0,157,155,,,,,(pesye iyvershteyn),,Zylbercweig Lexicon,"{""primary-name"": ""iyvershteyn"", ""given-name"": ""pesye""}",0,
465,1.0,158,156,,,,,yzydor (eyzyk) shkhnzy,,Zylbercweig Lexicon,"{""primary-name"": ""yzydor"", ""alternative-name"": ""eyzyk"", ""surname"": ""shkhnzy""}",0,
466,1.0,159,157,,,,,myre shkhnzy,,Zylbercweig Lexicon,"{""primary-name"": ""myre shkhnzy"", ""given-name"": ""myre"", ""surname"": ""shkhnzy""}",0,
467,1.0,160,158,,,,,tsyie (eer) shkhnzy,,Zylbercweig Lexicon,"{""given-name"": ""tsyie"", ""alternative-name"": ""eer"", ""surname"": ""shkhnzy""}",0,
468,1.0,161,159,,,,,m osherovytsh,,Zylbercweig Lexicon,"{""surname"": ""osherovytsh"", ""acronym"": ""m""}",0,
469,1.0,162,160,,,,,vagateia teater,,Zylbercweig Lexicon,"{""primary-name"": ""vagteia"", ""qualifier"": ""teater""}",0,
183,0.68351674,163,161,,,,,eyd vadanes,,Zylbercweig Lexicon,"{""primary-name"": ""eyd"", ""surname"": ""vadanes""}",0,
470,1.0,164,162,,,,,maks (muny vadyon) vadyn,,Zylbercweig Lexicon,"{""given-name"": ""maks"", ""alternative-name"": ""muny"", ""surname"": ""vadyn"", ""patronymic"": ""vadyon""}",0,
471,1.0,165,163,,,,,grshm voder,,Zylbercweig Lexicon,"{""primary-name"": ""grshm vodr"", ""given-name"": ""grshm"", ""surname"": ""vodr""}",0,
472,1.0,166,164,,,,,shmkhh (nyedzhevyetsky) vder,,Zylbercweig Lexicon,"{""primary-name"": ""shmkhh"", ""alternative-name"": ""nyedzhevyetsky"", ""surname"": ""bder""}",0,
473,1.0,167,165,,,,,vavegiekher eydysher dramatysher teater,,Zylbercweig Lexicon,"{""primary-name"": ""teater"", ""professional-name"": ""vavygiekher"", ""nisba"": ""eydysher"", ""qualifier"": ""dramatysher""}",0,
184,0.629222,168,166,,,,,yusf vovshover,,Zylbercweig Lexicon,"{""given-name"": ""yusf"", ""surname"": ""vovshover""}",0,
474,1.0,169,167,,,,,nkhum vazeiynsky,,Zylbercweig Lexicon,"{""given-name"": ""nkhum"", ""surname"": ""vazeiynsky""}",0,
475,1.0,170,168,,,,,abrhmie vozhyk,,Zylbercweig Lexicon,"{""given-name"": ""abrhmie"", ""surname"": ""vozhyk""}",0,
